month,shipments,revenue,leakage,avg_margin_pct
2025-05-01,4793,101006.84,4091.87,0.5940353640726058
2025-06-01,4585,96706.27,3834.67,0.5962882660850599
2025-07-01,4823,98515.24,4935.05,0.5929235330707029
2025-08-01,4765,105137.5,5071.4800000000005,0.606487869884575
2025-09-01,4550,103419.09,5913.85,0.6151993186813187
2025-10-01,4758,107604.18,6249.21,0.6144628835645229
2025-11-01,4674,106036.5,6698.63,0.6164363928112966
2025-12-01,4667,105731.08,6118.78,0.6167526033854724
2026-01-01,4889,109243.13,6855.41,0.613640417263244
2026-02-01,4300,99111.03,5035.96,0.6167433953488372
2026-03-01,4759,108325.54,6439.61,0.6163586677873503
2026-04-01,4559,103812.88,5874.85,0.6150087957885502
2026-05-01,3878,89593.24,5011.33,0.6204231304796287
